FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Amapa,Brazil,2022-01-06 04:22:09,0.902,-52.003,127147,2023,,,"Amapa, Brazil",15033.976524450445,1.591071751594611
,,Amazonas,Brazil,2022-01-06 04:22:09,-3.4168,-65.8561,434142,13838,,,"Amazonas, Brazil",10474.890562339355,3.18743636874571
,,Bahia,Brazil,2022-01-06 04:22:09,-12.5797,-41.7007,1271962,27538,,,"Bahia, Brazil",8552.11811096893,2.16500178464451
,,Ceara,Brazil,2022-01-06 04:22:09,-5.4984,-39.3206,957498,24823,,,"Ceara, Brazil",10484.995857459824,2.5924858328685803
,,Distrito Federal,Brazil,2022-01-06 04:22:09,-15.7998,-47.8645,521140,11112,,,"Distrito Federal, Brazil",17283.372489609552,2.1322485320643207
,,Espirito Santo,Brazil,2022-01-06 04:22:09,-19.1834,-40.3089,631039,13337,,,"Espirito Santo, Brazil",15702.760877409082,2.1134985317864663
,,Goias,Brazil,2022-01-06 04:22:09,-15.827,-49.8362,948625,24699,,,"Goias, Brazil",13516.345855452715,2.6036631967321124
,,Maranhao,Brazil,2022-01-06 04:22:09,-4.9609,-45.2744,370908,10384,,,"Maranhao, Brazil",5242.381785003097,2.799616077302188
,,Mato Grosso,Brazil,2022-01-06 04:22:09,-12.6819,-56.9211,559043,14069,,,"Mato Grosso, Brazil",16043.86439701234,2.5166221560774393
,,Mato Grosso do Sul,Brazil,2022-01-06 04:22:09,-20.7722,-54.7852,380820,9733,,,"Mato Grosso do Sul, Brazil",13703.559499759984,2.555800640722651
,,Minas Gerais,Brazil,2022-01-06 04:22:09,-18.5122,-44.555,2228574,56683,,,"Minas Gerais, Brazil",10527.639485882779,2.543465013950625
,,Para,Brazil,2022-01-06 04:22:09,-1.9981,-54.9306,626701,17108,,,"Para, Brazil",7284.794077321915,2.729850439045095
,,Paraiba,Brazil,2022-01-06 04:22:09,-7.24,-36.782,464629,9600,,,"Paraiba, Brazil",11563.322911396279,2.0661646173613786
,,Parana,Brazil,2022-01-06 04:22:09,-25.2521,-52.0215,1602747,40900,,,"Parana, Brazil",14017.430710995328,2.551868760322122
,,Pernambuco,Brazil,2022-01-06 04:22:09,-8.8137,-36.9541,646276,20473,,,"Pernambuco, Brazil",6762.281037778205,3.1678416032778567
,,Piaui,Brazil,2022-01-06 04:22:09,-7.7183,-42.7289,334606,7283,,,"Piaui, Brazil",10222.511301538208,2.1765897802191234
,,Rio Grande do Norte,Brazil,2022-01-06 04:22:09,-5.4026,-36.9541,387919,7577,,,"Rio Grande do Norte, Brazil",11061.741110904848,1.953242816154919
,,Rio Grande do Sul,Brazil,2022-01-06 04:22:09,-30.0346,-51.2177,1509873,36460,,,"Rio Grande do Sul, Brazil",13270.996592406997,2.4147726331949775
,,Rio de Janeiro,Brazil,2022-01-06 04:22:09,-22.9068,-43.1729,1359403,69513,,,"Rio de Janeiro, Brazil",7873.776357095418,5.1134946737648805
,,Rondonia,Brazil,2022-01-06 04:22:09,-11.5057,-63.5806,285037,6745,,,"Rondonia, Brazil",16038.318164554292,2.3663594550882867
,,Roraima,Brazil,2022-01-06 04:22:09,-2.7376,-62.0751,129220,2078,,,"Roraima, Brazil",21331.845397772388,1.6081101996594955
,,Santa Catarina,Brazil,2022-01-06 04:22:09,-27.2423,-50.2189,1246583,20198,,,"Santa Catarina, Brazil",17398.742293561234,1.6202691677970902
,,Sao Paulo,Brazil,2022-01-06 04:22:09,-23.5505,-46.6333,4458689,155242,,,"Sao Paulo, Brazil",9709.8896799888,3.481785789500008
,,Sergipe,Brazil,2022-01-06 04:22:09,-10.5741,-37.3857,278557,6059,,,"Sergipe, Brazil",12118.044317299895,2.175138302035131
,,Tocantins,Brazil,2022-01-06 04:22:09,-10.1753,-48.2982,236554,3944,,,"Tocantins, Brazil",15039.679158936617,1.6672725889226139
,,,Brunei,2022-01-06 04:22:09,4.5353,114.7277,15532,98,,,Brunei,3550.3093834503284,0.6309554468194695
,,,Bulgaria,2022-01-06 04:22:09,42.7339,25.4858,764476,31303,,,Bulgaria,11002.116300841411,4.094700160632904
,,,Burkina Faso,2022-01-06 04:22:09,12.2383,-1.5616,18637,333,,,Burkina Faso,89.15826503383823,1.7867682566936738
,,,Burma,2022-01-06 04:22:09,21.9162,95.956,531432,19282,,,Burma,976.721213096304,3.6283099248822053
,,,Burundi,2022-01-06 04:22:09,-3.3731,29.9189,32076,38,,,Burundi,269.7551994271865,0.11846863698715551
,,,Cabo Verde,2022-01-06 04:22:09,16.5388,-23.0418,45989,356,,,Cabo Verde,8271.581401037432,0.7740981539063689
,,,Cambodia,2022-01-06 04:22:09,11.55,104.9167,120535,3015,,,Cambodia,720.947479363413,2.5013481561372215
,,,Cameroon,2022-01-06 04:22:09,3.8480000000000003,11.5021,109367,1851,,,Cameroon,411.9926177577042,1.6924666489891833
,,Alberta,Canada,2022-01-06 04:22:09,53.9333,-116.5765,384126,3333,,,"Alberta, Canada",8704.130794675726,0.8676840411739898
,,British Columbia,Canada,2022-01-06 04:22:09,53.7267,-127.6476,270508,2427,,,"British Columbia, Canada",5292.748835482948,0.8972008221568308
,,Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,2020-12-21 13:27:30,,,13,0,,,"Grand Princess, Canada",,0.0
,,Manitoba,Canada,2022-01-06 04:22:09,53.7609,-98.8139,89050,1402,,,"Manitoba, Canada",6464.530020319167,1.5743964065131948
,,New Brunswick,Canada,2022-01-06 04:22:09,46.5653,-66.4619,18345,168,,,"New Brunswick, Canada",2351.944184114473,0.9157808667211774
,,Newfoundland and Labrador,Canada,2022-01-06 04:22:09,53.1355,-57.6604,6554,20,,,"Newfoundland and Labrador, Canada",1257.0847678689593,0.3051571559353067
,,Northwest Territories,Canada,2022-01-06 04:22:09,64.8255,-124.8457,2495,12,,,"Northwest Territories,Canada",5556.297879921613,0.48096192384769537
,,Nova Scotia,Canada,2022-01-06 04:22:09,44.681999999999995,-63.7443,21678,111,,,"Nova Scotia, Canada",2217.7957700441048,0.5120398560752837
,,Nunavut,Canada,2022-01-06 04:22:09,70.2998,-83.1076,900,4,,,"Nunavut, Canada",2320.7839092315626,0.4444444444444444
,,Ontario,Canada,2022-01-06 04:22:09,51.2538,-85.3232,843435,10308,,,"Ontario, Canada",5733.040498640991,1.22214515641395
,,Prince Edward Island,Canada,2022-01-06 04:22:09,46.5107,-63.4168,1862,0,,,"Prince Edward Island, Canada",1177.3037089492786,0.0
,,Quebec,Canada,2022-01-06 04:22:09,52.9399,-73.5491,665821,11820,,,"Quebec, Canada",7798.6229036152,1.7752519070440855
,,Repatriated Travellers,Canada,2022-01-06 04:22:09,,,13,0,,,"Repatriated Travellers, Canada",,0.0
,,Saskatchewan,Canada,2022-01-06 04:22:09,52.9399,-106.4509,87708,960,,,"Saskatchewan, Canada",7422.401930833247,1.0945409768778218
,,Yukon,Canada,2022-01-06 04:22:09,64.2823,-135.0,2010,15,,,"Yukon, Canada",4893.1301426554355,0.746268656716418
,,,Central African Republic,2022-01-06 04:22:09,6.6111,20.9394,12454,101,,,Central African Republic,257.85939023107545,0.8109844226754457
,,,Chad,2022-01-06 04:22:09,15.4542,18.7322,6185,184,,,Chad,37.65404293315802,2.974939369442199
,,Antofagasta,Chile,2022-01-06 04:22:09,-23.6509,-70.3975,67262,1286,,,"Antofagasta, Chile",11071.314527252795,1.9119264963872618
,,Araucania,Chile,2022-01-06 04:22:09,-38.9489,-72.3311,104647,1561,,,"Araucania, Chile",10932.341855197948,1.4916815579997516
,,Arica y Parinacota,Chile,2022-01-06 04:22:09,-18.594,-69.4785,29212,546,,,"Arica y Parinacota, Chile",12921.775748889717,1.8690948925099273
,,Atacama,Chile,2022-01-06 04:22:09,-27.5661,-70.0503,30931,382,,,"Atacama, Chile",10704.842460822858,1.2350069509553523
,,Aysen,Chile,2022-01-06 04:22:09,-45.9864,-73.7669,10363,98,,,"Aysen, Chile",10045.755055351983,0.9456721026729712
,,Biobio,Chile,2022-01-06 04:22:09,-37.4464,-72.1416,168453,2847,,,"Biobio, Chile",10820.43030437338,1.690085661876013
,,Coquimbo,Chile,2022-01-06 04:22:09,-29.959,-71.3389,55057,1100,,,"Coquimbo, Chile",7267.425744403936,1.9979294186025391
,,Los Lagos,Chile,2022-01-06 04:22:09,-41.9198,-72.1416,99781,1519,,,"Los Lagos, Chile",12040.549867987276,1.5223339112656717
,,Los Rios,Chile,2022-01-06 04:22:09,-40.231,-72.3311,54060,727,,,"Los Rios, Chile",14047.5058271424,1.344802071772105
,,Magallanes,Chile,2022-01-06 04:22:09,-52.368,-70.9863,30317,508,,,"Magallanes, Chile",18204.80024980034,1.6756275357060395
,,Maule,Chile,2022-01-06 04:22:09,-35.5183,-71.6885,109976,1868,,,"Maule, Chile",10524.52270443562,1.6985524114352222
,,Metropolitana,Chile,2022-01-06 04:22:09,-33.4376,-70.6505,756104,19956,,,"Metropolitana, Chile",10630.175874282,2.6393194586988034
,,Nuble,Chile,2022-01-06 04:22:09,-36.7226,-71.7622,39616,678,,,"Nuble, Chile",8242.875185441804,1.7114297253634896
,,OHiggins,Chile,2022-01-06 04:22:09,-34.5755,-71.0022,73349,1630,,,"OHiggins, Chile",8020.184679980974,2.222252518780079
,,Tarapaca,Chile,2022-01-06 04:22:09,-19.9232,-69.5132,46096,830,,,"Tarapaca, Chile",13944.905281372707,1.800590072891357
,,Unknown,Chile,2022-01-06 04:22:09,,,45,0,,,"Unknown, Chile",,0.0
,,Valparaiso,Chile,2022-01-06 04:22:09,-33.0472,-71.6127,138919,3641,,,"Valparaiso, Chile",7650.137507420554,2.6209517776546045
,,Anhui,China,2022-01-06 04:22:09,31.8257,117.2264,1009,6,,,"Anhui, China",1.5955091714104996,0.5946481665014867
,,Beijing,China,2022-01-06 04:22:09,40.1824,116.4142,1216,9,,,"Beijing, China",5.645311049210771,0.7401315789473685
,,Chongqing,China,2022-01-06 04:22:09,30.0572,107.874,611,6,,,"Chongqing, China",1.9696969696969693,0.9819967266775778
,,Fujian,China,2022-01-06 04:22:09,26.0789,117.9874,1396,1,,,"Fujian, China",3.5422481603653897,0.07163323782234957
,,Gansu,China,2022-01-06 04:22:09,35.7518,104.2861,356,2,,,"Gansu, China",1.3500189609404627,0.5617977528089888
,,Guangdong,China,2022-01-06 04:22:09,23.3417,113.4244,3503,8,,,"Guangdong, China",3.087431693989071,0.22837567799029404
,,Guangxi,China,2022-01-06 04:22:09,23.8298,108.7881,652,2,,,"Guangxi, China",1.3235891189606168,0.3067484662576687
,,Guizhou,China,2022-01-06 04:22:09,26.8154,106.8748,160,2,,,"Guizhou, China",0.4444444444444444,1.25
,,Hainan,China,2022-01-06 04:22:09,19.1959,109.7453,190,6,,,"Hainan, China",2.0342612419700212,3.1578947368421053
,,Hebei,China,2022-01-06 04:22:09,37.8957,114.9042,1458,7,,,"Hebei, China",1.9295923769190049,0.48010973936899864
,,Heilongjiang,China,2022-01-06 04:22:09,47.861999999999995,127.7615,2035,13,,,"Heilongjiang, China",5.393586005830903,0.6388206388206388
,,Henan,China,2022-01-06 04:22:09,33.882,113.61399999999999,1719,22,,,"Henan, China",1.7896928682977615,1.2798138452588714
,,Hong Kong,China,2022-01-06 04:22:09,22.3,114.2,12708,213,,,"Hong Kong, China",169.5080744426962,1.676109537299339
,,Hubei,China,2022-01-06 04:22:09,30.9756,112.2707,68319,4512,,,"Hubei, China",115.46222748014195,6.604312124006499
,,Hunan,China,2022-01-06 04:22:09,27.6104,111.7088,1223,4,,,"Hunan, China",1.7727206841571241,0.3270645952575634
,,Inner Mongolia,China,2022-01-06 04:22:09,44.0935,113.9448,1191,1,,,"Inner Mongolia, China",4.700078926598263,0.08396305625524769
,,Jiangsu,China,2022-01-06 04:22:09,32.9711,119.455,1627,0,,,"Jiangsu, China",2.0208669730468265,0.0
,,Jiangxi,China,2022-01-06 04:22:09,27.614,115.7221,959,1,,,"Jiangxi, China",2.0632530120481927,0.10427528675703858
,,Jilin,China,2022-01-06 04:22:09,43.6661,126.1923,590,3,,,"Jilin, China",2.1819526627218937,0.5084745762711864
,,Liaoning,China,2022-01-06 04:22:09,41.2956,122.6085,796,2,,,"Liaoning, China",1.8261069052534984,0.25125628140703515
,,Macau,China,2022-01-06 04:22:09,22.1667,113.55,79,0,,,"Macau, China",12.166162053278553,0.0
,,Ningxia,China,2022-01-06 04:22:09,37.2692,106.1655,122,0,,,"Ningxia, China",1.7732558139534884,0.0
,,Qinghai,China,2022-01-06 04:22:09,35.7452,95.9956,30,0,,,"Qinghai, China",0.4975124378109453,0.0
,,Shaanxi,China,2022-01-06 04:22:09,35.1917,108.8701,2629,3,,,"Shaanxi, China",6.803830227743273,0.11411182959300115
,,Shandong,China,2022-01-06 04:22:09,36.3427,118.1498,1049,7,,,"Shandong, China",1.044092764009157,0.667302192564347
,,Shanghai,China,2022-01-06 04:22:09,31.201999999999998,121.4491,3213,7,,,"Shanghai, China",13.254950495049505,0.2178649237472767
,,Shanxi,China,2022-01-06 04:22:09,37.5777,112.2922,266,0,,,"Shanxi, China",0.7154384077461,0.0
,,Sichuan,China,2022-01-06 04:22:09,30.6171,102.7103,1331,3,,,"Sichuan, China",1.5957319266275027,0.22539444027047334
,,Tianjin,China,2022-01-06 04:22:09,39.3054,117.323,606,3,,,"Tianjin, China",3.8846153846153846,0.49504950495049505
,,Tibet,China,2022-01-06 04:22:09,31.6927,88.0924,1,0,,,"Tibet, China",0.02906976744186046,0.0
,,Unknown,China,2022-01-06 04:22:09,,,0,0,,,"Unknown, China",,
,,Xinjiang,China,2022-01-06 04:22:09,41.1129,85.2401,981,3,,,"Xinjiang, China",3.9445114595898674,0.3058103975535168
,,Yunnan,China,2022-01-06 04:22:09,24.974,101.48700000000001,1825,2,,,"Yunnan, China",3.7784679089026914,0.1095890410958904
,,Zhejiang,China,2022-01-06 04:22:09,29.1832,120.0934,2058,1,,,"Zhejiang, China",3.5872407181453725,0.04859086491739553
,,Amazonas,Colombia,2022-01-06 04:22:09,-1.4429,-71.5724,7094,259,,,"Amazonas, Colombia",9262.426719241666,3.6509726529461517
,,Antioquia,Colombia,2022-01-06 04:22:09,7.1986,-75.3412,808860,16941,,,"Antioquia, Colombia",12624.4283296879,2.094429196647133
,,Arauca,Colombia,2022-01-06 04:22:09,7.0762,-70.7105,14555,486,,,"Arauca, Colombia",5551.656533447253,3.3390587427001033
,,Atlantico,Colombia,2022-01-06 04:22:09,10.6966,-74.8741,346355,9752,,,"Atlantico, Colombia",13660.133219378928,2.815608263198164
,,Bolivar,Colombia,2022-01-06 04:22:09,8.6704,-74.03,164659,3054,,,"Bolivar, Colombia",7954.1183801826965,1.8547422248404277
,,Boyaca,Colombia,2022-01-06 04:22:09,5.4545,-73.362,108197,2586,,,"Boyaca, Colombia",8887.722445653602,2.390084752812
,,Caldas,Colombia,2022-01-06 04:22:09,5.2983,-75.2479,102553,2294,,,"Caldas, Colombia",10273.226780732379,2.236892143574542
,,Capital District,Colombia,2022-01-06 04:22:09,4.711,-74.0721,1495057,27736,,,"Capital District, Colombia",20169.223451096423,1.8551801035010704
,,Caqueta,Colombia,2022-01-06 04:22:09,0.8699,-73.8419,23176,945,,,"Caqueta, Colombia",5772.511824732434,4.0774939592682085
,,Casanare,Colombia,2022-01-06 04:22:09,5.7589,-71.5724,36311,941,,,"Casanare, Colombia",8635.114053611855,2.591501197984082
,,Cauca,Colombia,2022-01-06 04:22:09,2.705,-76.82600000000002,58444,1601,,,"Cauca, Colombia",3990.7462539809135,2.739374443912121
,,Cesar,Colombia,2022-01-06 04:22:09,9.3373,-73.6536,93628,2565,,,"Cesar, Colombia",7798.603001564252,2.7395650873670268
,,Choco,Colombia,2022-01-06 04:22:09,5.2528,-76.82600000000002,16645,404,,,"Choco, Colombia",3112.2271542520366,2.4271553018924603
,,Cordoba,Colombia,2022-01-06 04:22:09,8.0493,-75.574,105423,3744,,,"Cordoba, Colombia",5906.768497907027,3.5514071881847413
,,Cundinamarca,Colombia,2022-01-06 04:22:09,5.026,-74.03,270033,6865,,,"Cundinamarca, Colombia",9250.683439189328,2.542281869253017
,,Guainia,Colombia,2022-01-06 04:22:09,2.5854,-68.5247,2578,35,,,"Guainia, Colombia",5358.10782724363,1.3576415826221877
,,Guaviare,Colombia,2022-01-06 04:22:09,1.0654,-73.2603,5190,97,,,"Guaviare, Colombia",6270.615100221104,1.8689788053949903
,,Huila,Colombia,2022-01-06 04:22:09,2.5359,-75.5277,90343,3200,,,"Huila, Colombia",8210.118994607346,3.5420563851100804
,,La Guajira,Colombia,2022-01-06 04:22:09,11.3548,-72.5205,47411,1449,,,"La Guajira, Colombia",5384.187335332062,3.056252768344899
,,Magdalena,Colombia,2022-01-06 04:22:09,10.4113,-74.4057,102039,3491,,,"Magdalena, Colombia",7604.9416208432895,3.421240898087986
,,Meta,Colombia,2022-01-06 04:22:09,3.272,-73.0877,91491,2307,,,"Meta, Colombia",8799.563729535395,2.521559497655507
,,Narino,Colombia,2022-01-06 04:22:09,1.2892,-77.3579,91650,3049,,,"Narino, Colombia",5620.658018682784,3.326786688488816
,,Norte de Santander,Colombia,2022-01-06 04:22:09,7.9463,-72.8988,102737,4718,,,"Norte de Santander, Colombia",6887.293531024228,4.592308515919289
,,Putumayo,Colombia,2022-01-06 04:22:09,0.436,-75.5277,18015,719,,,"Putumayo, Colombia",5174.018185891287,3.991118512350819
,,Quindio,Colombia,2022-01-06 04:22:09,4.461,-75.6674,59836,1855,,,"Quindio, Colombia",11082.71100047416,3.100140383715489
,,Risaralda,Colombia,2022-01-06 04:22:09,5.3158,-75.9928,90791,2278,,,"Risaralda, Colombia",9623.797303585645,2.5090592679891177
,,San Andres y Providencia,Colombia,2022-01-06 04:22:09,12.5567,-81.7185,8547,151,,,"San Andres y Providencia, Colombia",13947.454308093997,1.7667017667017666
,,Santander,Colombia,2022-01-06 04:22:09,6.6437,-73.6536,236888,7543,,,"Santander, Colombia",10842.364899532553,3.184205194015737
,,Sucre,Colombia,2022-01-06 04:22:09,8.814,-74.7233,60004,1628,,,"Sucre, Colombia",6631.280094334723,2.7131524565029
,,Tolima,Colombia,2022-01-06 04:22:09,4.0925,-75.1545,109244,3693,,,"Tolima, Colombia",8212.679871326362,3.3805060232140898
,,Unknown,Colombia,2022-01-06 04:22:09,,,0,296,,,"Unknown, Colombia",,
,,Valle del Cauca,Colombia,2022-01-06 04:22:09,3.8009,-76.6413,447023,13384,,,"Valle del Cauca, Colombia",9987.363395761196,2.994029389986645
,,Vaupes,Colombia,2022-01-06 04:22:09,0.8554,-70.812,1797,17,,,"Vaupes, Colombia",4404.735642326642,0.9460211463550362
,,Vichada,Colombia,2022-01-06 04:22:09,4.4234,-69.2878,3059,57,,,"Vichada, Colombia",2837.4517661027007,1.8633540372670807
,,,Comoros,2022-01-06 04:22:09,-11.6455,43.3333,7283,159,,,Comoros,837.5163150662088,2.1831662776328438
,,,Congo (Brazzaville),2022-01-06 04:22:09,-0.228,15.8277,21277,369,,,Congo (Brazzaville),385.5861772511223,1.7342670489260703
,,,Congo (Kinshasa),2022-01-06 04:22:09,-4.0383,21.7587,79942,1225,,,Congo (Kinshasa),89.2594314399091,1.5323609616972305
,,,Costa Rica,2022-01-06 04:22:09,9.7489,-83.7534,578413,7369,,,Costa Rica,11354.535842739288,1.2740031776602532
,,,Cote d'Ivoire,2022-01-06 04:22:09,7.54,-5.5471,75064,727,,,Cote d'Ivoire,284.5675086790171,0.9685068741340722
,,,Croatia,2022-01-06 04:22:09,45.1,15.2,736486,12731,,,Croatia,17940.02242971713,1.7286139858734586
,,,Cuba,2022-01-06 04:22:09,21.521757,-77.78116700000002,969138,8324,,,Cuba,8556.289009886095,0.8589076065534527
,,,Cyprus,2022-01-06 04:22:09,35.1264,33.4299,188380,650,,,Cyprus,15602.624235833357,0.3450472449304597
,,,Czechia,2022-01-06 04:22:09,49.8175,15.472999999999999,2503374,36397,,,Czechia,23376.3956275209,1.4539177925471782
,,Faroe Islands,Denmark,2022-01-06 04:22:09,61.8926,-6.9118,6855,15,,,"Faroe Islands, Denmark",14028.44571779392,0.2188183807439825
,,Greenland,Denmark,2022-01-06 04:22:09,71.7069,-42.6043,3404,1,,,"Greenland, Denmark",5995.913478475305,0.02937720329024677
,,,Denmark,2022-01-06 04:22:09,56.2639,9.5018,893393,3322,,,Denmark,15424.06231273317,0.3718408360038639
,,,Diamond Princess,2022-01-06 04:22:09,,,712,13,,,Diamond Princess,,1.8258426966292134
,,,Djibouti,2022-01-06 04:22:09,11.8251,42.5903,13839,189,,,Djibouti,1400.7056665877194,1.3657056145675266
,,,Dominica,2022-01-06 04:22:09,15.415,-61.371,7073,47,,,Dominica,9824.839216013112,0.6644987982468542
,,,Dominican Republic,2022-01-06 04:22:09,18.7357,-70.1627,433710,4252,,,Dominican Republic,3998.0995407039,0.9803785939913767
,,,Ecuador,2022-01-06 04:22:09,-1.8312,-78.1834,553201,33686,,,Ecuador,3135.5161746318377,6.089287618785939
,,,Egypt,2022-01-06 04:22:09,26.820553000000004,30.802497999999996,389454,21863,,,Egypt,380.56996335826574,5.613756695270815
,,,El Salvador,2022-01-06 04:22:09,13.7942,-88.8965,122063,3826,,,El Salvador,1881.887409902961,3.134446965911046
,,,Equatorial Guinea,2022-01-06 04:22:09,1.6508,10.2679,13876,175,,,Equatorial Guinea,989.034095161388,1.2611703660997406
,,,Eritrea,2022-01-06 04:22:09,15.1794,39.7823,8161,78,,,Eritrea,230.11893378885284,0.9557652248498959
,,,Estonia,2022-01-06 04:22:09,58.5953,25.0136,246221,1942,,,Estonia,18561.15802098544,0.7887223266902498
,,,Eswatini,2022-01-06 04:22:09,-26.5225,31.4659,66873,1320,,,Eswatini,5764.09886878062,1.9738908079493966
